              Started ;          LogicalDisk ;          LogicalDisk ;          LogicalDisk ;          LogicalDisk ;          LogicalDisk ;          LogicalDisk ;           additional 
                      ;         % Free Space ;         % Free Space ;         % Free Space ;         % Free Space ;         % Free Space ;         % Free Space ;                      
                      ;      vm-dbmsys-stage ;      vm-dbmsys-stage ;      vm-dbmsys-stage ;      vm-dbmsys-stage ;      vm-dbmsys-stage ;      vm-dbmsys-stage ;                      
                      ;               _Total ;                   C: ;                   F: ;                   D: ;                   E: ;      HarddiskVolume1 ;                      
                0.000 ;               22.480 ;                1.064 ;               31.576 ;               14.547 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.134614346.json.gz 
                0.167 ;               22.474 ;                1.055 ;               31.576 ;               14.535 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.135615549.json.gz 
                0.333 ;               22.473 ;                1.036 ;               31.576 ;               14.535 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.140616567.json.gz 
                0.500 ;               22.502 ;                1.023 ;               31.657 ;               14.523 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.141617829.json.gz 
                0.667 ;               22.467 ;                1.005 ;               31.581 ;               14.523 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.142619053.json.gz 
                0.833 ;               22.465 ;                0.990 ;               31.592 ;               14.510 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.143620332.json.gz 
                1.000 ;               22.452 ;                0.977 ;               31.571 ;               14.504 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.144621581.json.gz 
                1.167 ;               22.262 ;                0.958 ;               31.139 ;               14.504 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.145622778.json.gz 
                1.333 ;               22.288 ;                0.947 ;               31.206 ;               14.498 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.150623877.json.gz 
                1.500 ;               22.291 ;                0.930 ;               31.216 ;               14.498 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.151625188.json.gz 
                1.667 ;               22.346 ;                0.912 ;               31.346 ;               14.498 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.152626505.json.gz 
                1.833 ;               22.325 ;                0.919 ;               31.298 ;               14.498 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.153627948.json.gz 
                2.000 ;               22.280 ;                0.802 ;               31.222 ;               14.492 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.154629299.json.gz 
                2.167 ;               22.273 ;                0.790 ;               31.209 ;               14.492 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.155630663.json.gz 
                2.333 ;               22.224 ;                0.255 ;               31.201 ;               14.492 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.160631953.json.gz 
                2.500 ;               22.234 ;                0.272 ;               31.227 ;               14.485 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.161633133.json.gz 
                2.667 ;               22.234 ;                0.270 ;               31.227 ;               14.485 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.162635288.json.gz 
                2.833 ;               22.233 ;                0.260 ;               31.227 ;               14.485 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.163637274.json.gz 
                3.000 ;               22.229 ;                0.234 ;               31.227 ;               14.479 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.164639320.json.gz 
                3.167 ;               22.227 ;                0.220 ;               31.227 ;               14.479 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.165641743.json.gz 
                3.333 ;               22.226 ;                0.207 ;               31.227 ;               14.479 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.170643854.json.gz 
                3.500 ;               22.214 ;                0.192 ;               31.227 ;               14.455 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.171645564.json.gz 
                3.667 ;               22.208 ;                0.178 ;               31.227 ;               14.443 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.172648096.json.gz 
                3.833 ;               22.206 ;                0.163 ;               31.227 ;               14.442 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.173650195.json.gz 
                4.000 ;               22.205 ;                0.144 ;               31.227 ;               14.442 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.174652071.json.gz 
                4.167 ;               22.201 ;                0.132 ;               31.227 ;               14.436 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.175654126.json.gz 
                4.333 ;               22.197 ;                0.115 ;               31.227 ;               14.430 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.180656205.json.gz 
                4.500 ;               22.196 ;                0.098 ;               31.227 ;               14.430 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.181658758.json.gz 
                4.667 ;               22.188 ;                0.077 ;               31.227 ;               14.418 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.182700885.json.gz 
                4.833 ;               22.184 ;                0.062 ;               31.227 ;               14.412 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.183703176.json.gz 
                5.000 ;               22.181 ;                0.048 ;               31.227 ;               14.406 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.184705185.json.gz 
                5.167 ;               22.179 ;                0.032 ;               31.227 ;               14.406 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.185707528.json.gz 
                5.333 ;               22.176 ;                0.021 ;               31.228 ;               14.399 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.190709827.json.gz 
                5.500 ;               22.172 ;                0.009 ;               31.228 ;               14.393 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.191711718.json.gz 
                5.667 ;               22.169 ;                0.000 ;               31.228 ;               14.387 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.192713132.json.gz 
                5.833 ;               22.161 ;                0.000 ;               31.228 ;               14.369 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.193715457.json.gz 
                6.000 ;               22.155 ;                0.000 ;               31.228 ;               14.356 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.194717359.json.gz 
                6.167 ;               22.153 ;                0.000 ;               31.228 ;               14.350 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.195719839.json.gz 
                6.333 ;               22.152 ;                0.000 ;               31.225 ;               14.350 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.200721867.json.gz 
                6.517 ;               22.150 ;                0.000 ;               31.222 ;               14.350 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.201724030.json.gz 
                6.683 ;               22.143 ;                0.000 ;               31.217 ;               14.338 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.202725933.json.gz 
                6.850 ;               22.139 ;                0.000 ;               31.209 ;               14.338 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.203727900.json.gz 
                7.017 ;               22.146 ;                0.000 ;               31.224 ;               14.338 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.204729908.json.gz 
                7.183 ;               22.146 ;                0.000 ;               31.224 ;               14.338 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.205732103.json.gz 
                7.350 ;               22.138 ;                0.000 ;               31.224 ;               14.319 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.210733814.json.gz 
                7.517 ;               22.138 ;                0.000 ;               31.224 ;               14.319 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.211736231.json.gz 
                7.683 ;               22.138 ;                0.000 ;               31.224 ;               14.319 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.212738541.json.gz 
